date,teamname,game,side,teamkills,teamdeaths,dragons,barons,towers,totalgold,result,split
2022-03-05 17:04:54,Liberty,1,Red,11,21,0.0,0.0,5.0,65130,0,Split 1
2022-03-05 18:17:22,Flamengo Esports,1,Blue,14,8,3.0,1.0,9.0,61872,1,Split 1
2022-03-05 18:17:22,INTZ,1,Red,8,14,2.0,0.0,5.0,55885,0,Split 1
2022-03-05 19:23:56,Netshoes Miners,1,Blue,27,14,4.0,1.0,9.0,57650,1,Split 1
2022-03-05 19:23:56,Rensga eSports,1,Red,14,27,0.0,0.0,1.0,44054,0,Split 1
2022-03-06 15:45:08,INTZ,1,Blue,5,18,0.0,0.0,1.0,36984,0,Split 1
2022-03-06 15:45:08,LOUD,1,Red,18,5,2.0,1.0,11.0,52550,1,Split 1
2022-03-06 16:50:33,paiN Gaming,1,Blue,19,12,3.0,2.0,10.0,69207,1,Split 1
2022-03-06 16:50:33,Flamengo Esports,1,Red,12,19,2.0,0.0,3.0,58894,0,Split 1
2022-03-06 17:57:22,RED Canids,1,Blue,22,14,1.0,2.0,10.0,66958,1,Split 1
2022-03-06 17:57:22,Netshoes Miners,1,Red,14,22,3.0,0.0,3.0,56402,0,Split 1
2022-03-06 19:03:00,Liberty,1,Blue,9,23,1.0,0.0,5.0,51427,0,Split 1
2022-03-06 19:03:00,KaBuM! e-Sports,1,Red,23,9,4.0,2.0,10.0,65180,1,Split 1
2022-03-06 20:02:09,Rensga eSports,1,Blue,32,17,1.0,1.0,10.0,71442,1,Split 1
2022-03-06 20:02:09,FURIA,1,Red,17,32,4.0,0.0,7.0,66044,0,Split 1
2022-03-10 19:45:07,KaBuM! e-Sports,1,Blue,21,13,4.0,1.0,10.0,65369,1,Split 1
2022-03-10 19:45:07,RED Canids,1,Red,13,21,1.0,0.0,3.0,55437,0,Split 1
2022-03-12 15:42:32,Netshoes Miners,1,Blue,23,14,2.0,1.0,9.0,68838,1,Split 1
2022-03-12 15:42:32,Liberty,1,Red,14,23,3.0,0.0,4.0,60510,0,Split 1
2022-03-12 17:05:05,Flamengo Esports,1,Blue,15,22,2.0,0.0,6.0,77803,0,Split 1
2022-03-12 17:05:05,Rensga eSports,1,Red,22,15,4.0,2.0,9.0,86260,1,Split 1
2022-03-12 18:16:50,LOUD,1,Blue,14,20,3.0,0.0,5.0,77593,0,Split 1
2022-03-12 18:16:50,KaBuM! e-Sports,1,Red,20,14,4.0,3.0,9.0,83433,1,Split 1
2022-03-12 19:30:15,FURIA,1,Blue,13,5,3.0,2.0,10.0,71269,1,Split 1
2022-03-12 19:30:15,RED Canids,1,Red,5,13,2.0,0.0,5.0,64316,0,Split 1
2022-03-12 20:41:43,INTZ,1,Blue,4,16,1.0,0.0,4.0,42708,0,Split 1
2022-03-12 20:41:43,paiN Gaming,1,Red,16,4,2.0,1.0,8.0,53706,1,Split 1
2022-03-13 15:45:01,KaBuM! e-Sports,1,Blue,31,31,3.0,1.0,6.0,68672,0,Split 1
2022-03-13 15:45:01,Netshoes Miners,1,Red,31,31,2.0,1.0,8.0,70355,1,Split 1
2022-03-13 17:01:13,Rensga eSports,1,Blue,12,14,2.0,1.0,7.0,55094,1,Split 1
2022-03-13 17:01:13,INTZ,1,Red,14,12,3.0,0.0,2.0,49284,0,Split 1
2022-03-13 17:58:30,RED Canids,1,Blue,7,19,1.0,0.0,4.0,44913,0,Split 1
2022-03-13 17:58:30,Flamengo Esports,1,Red,19,7,3.0,1.0,8.0,50601,1,Split 1
2022-03-13 18:44:29,paiN Gaming,1,Blue,22,17,1.0,2.0,8.0,74233,1,Split 1
2022-03-13 18:44:29,LOUD,1,Red,17,23,4.0,0.0,5.0,66206,0,Split 1
2022-03-13 20:13:00,Liberty,1,Blue,14,5,5.0,2.0,11.0,69676,1,Split 1
2022-03-13 20:13:00,FURIA,1,Red,5,14,1.0,0.0,7.0,66830,0,Split 1
2022-03-19 15:44:44,paiN Gaming,1,Blue,17,9,3.0,1.0,9.0,60685,1,Split 1
2022-03-19 15:44:44,Rensga eSports,1,Red,9,17,2.0,0.0,3.0,52641,0,Split 1
2022-03-19 16:59:51,FURIA,1,Blue,3,16,0.0,0.0,3.0,46370,0,Split 1
2022-03-19 16:59:51,KaBuM! e-Sports,1,Red,16,3,4.0,1.0,8.0,55858,1,Split 1
