date,playername,teamname,position,kills,deaths,assists,totalgold,total cs,split,KDA
2022-01-27 20:50:17,Wizer,paiN Gaming,top,3,3,1,12200,282.0,Split 1,1.33
2022-01-27 20:50:17,CarioK,paiN Gaming,jng,1,7,5,10018,181.0,Split 1,0.86
2022-01-27 20:50:17,dyNquedo,paiN Gaming,mid,1,3,4,11014,255.0,Split 1,1.67
2022-01-27 20:50:17,Trigo,paiN Gaming,bot,2,3,4,10756,230.0,Split 1,2.0
2022-01-27 20:50:17,Damage,paiN Gaming,sup,1,6,2,6736,45.0,Split 1,0.5
2022-01-27 20:50:17,Parang,KaBuM! e-Sports,top,8,1,5,12826,236.0,Split 1,13.0
2022-01-27 20:50:17,Wiz,KaBuM! e-Sports,jng,4,3,12,11944,198.0,Split 1,5.33
2022-01-27 20:50:17,Hauz,KaBuM! e-Sports,mid,5,1,11,13292,261.0,Split 1,16.0
2022-01-27 20:50:17,Disave,KaBuM! e-Sports,bot,4,1,9,14555,302.0,Split 1,13.0
2022-01-27 20:50:17,Scuro,KaBuM! e-Sports,sup,1,2,13,7725,31.0,Split 1,7.0
2022-01-27 20:50:17,,paiN Gaming,team,8,22,16,50724,,Split 1,1.09
2022-01-27 20:50:17,,KaBuM! e-Sports,team,22,8,50,60342,,Split 1,9.0
2022-01-29 15:45:26,Guigo,RED Canids,top,5,6,2,14196,291.0,Split 1,1.17
2022-01-29 15:45:26,Aegis,RED Canids,jng,3,6,5,12910,239.0,Split 1,1.33
2022-01-29 15:45:26,Grevthar,RED Canids,mid,3,5,6,12548,268.0,Split 1,1.8
2022-01-29 15:45:26,TitaN,RED Canids,bot,0,1,9,14630,323.0,Split 1,9.0
2022-01-29 15:45:26,Jojo,RED Canids,sup,2,1,5,8238,39.0,Split 1,7.0
2022-01-29 15:45:26,Kiari,Liberty,top,3,5,9,13467,248.0,Split 1,2.4
2022-01-29 15:45:26,Disamis,Liberty,jng,6,1,10,14202,224.0,Split 1,16.0
2022-01-29 15:45:26,Krastyel,Liberty,mid,5,1,10,17340,351.0,Split 1,15.0
2022-01-29 15:45:26,Matsukaze,Liberty,bot,4,2,8,15699,299.0,Split 1,6.0
2022-01-29 15:45:26,Wos,Liberty,sup,1,4,11,8598,29.0,Split 1,3.0
2022-01-29 15:45:26,,RED Canids,team,13,19,27,62522,,Split 1,2.11
2022-01-29 15:45:26,,Liberty,team,19,13,48,69306,,Split 1,5.15
2022-01-29 17:04:29,DoRun,Netshoes Miners,top,3,3,6,11912,208.0,Split 1,3.0
2022-01-29 17:04:29,Croc,Netshoes Miners,jng,3,1,8,12588,200.0,Split 1,11.0
2022-01-29 17:04:29,Anyyy,Netshoes Miners,mid,2,1,9,12911,262.0,Split 1,11.0
2022-01-29 17:04:29,Drop,Netshoes Miners,bot,5,1,5,15101,284.0,Split 1,10.0
2022-01-29 17:04:29,Hawk,Netshoes Miners,sup,2,2,9,8826,50.0,Split 1,5.5
2022-01-29 17:04:29,Wizer,paiN Gaming,top,0,4,2,11847,308.0,Split 1,0.5
2022-01-29 17:04:29,CarioK,paiN Gaming,jng,3,2,5,12136,219.0,Split 1,4.0
2022-01-29 17:04:29,dyNquedo,paiN Gaming,mid,4,3,3,13490,319.0,Split 1,2.33
2022-01-29 17:04:29,Trigo,paiN Gaming,bot,1,3,5,12097,267.0,Split 1,2.0
2022-01-29 17:04:29,Damage,paiN Gaming,sup,0,3,7,7109,43.0,Split 1,2.33
2022-01-29 17:04:29,,Netshoes Miners,team,15,8,37,61338,,Split 1,6.5
2022-01-29 17:04:29,,paiN Gaming,team,8,15,22,56679,,Split 1,2.0
2022-01-29 18:14:54,Parang,KaBuM! e-Sports,top,7,3,10,14873,263.0,Split 1,5.67
2022-01-29 18:14:54,Wiz,KaBuM! e-Sports,jng,1,2,18,10086,138.0,Split 1,9.5
2022-01-29 18:14:54,Hauz,KaBuM! e-Sports,mid,6,0,10,12308,224.0,Split 1,inf
2022-01-29 18:14:54,Disave,KaBuM! e-Sports,bot,7,0,8,15732,315.0,Split 1,inf
2022-01-29 18:14:54,Scuro,KaBuM! e-Sports,sup,1,1,14,7422,34.0,Split 1,15.0
2022-01-29 18:14:54,Ayel,Rensga eSports,top,1,5,2,9285,204.0,Split 1,0.6
2022-01-29 18:14:54,Minerva,Rensga eSports,jng,1,2,4,9859,208.0,Split 1,2.5
2022-01-29 18:14:54,Goku,Rensga eSports,mid,2,7,3,10280,259.0,Split 1,0.71
2022-01-29 18:14:54,Hades,Rensga eSports,bot,2,3,0,11843,289.0,Split 1,0.67
2022-01-29 18:14:54,Guard,Rensga eSports,sup,0,5,2,5618,32.0,Split 1,0.4
2022-01-29 18:14:54,,KaBuM! e-Sports,team,22,6,60,60421,,Split 1,13.67
2022-01-29 18:14:54,,Rensga eSports,team,6,22,11,46885,,Split 1,0.77
2022-01-29 19:10:09,fNb,FURIA,top,0,1,8,10852,263.0,Split 1,8.0
2022-01-29 19:10:09,Ranger,FURIA,jng,7,1,1,10639,142.0,Split 1,8.0
2022-01-29 19:10:09,Envy,FURIA,mid,2,0,8,11089,231.0,Split 1,inf
2022-01-29 19:10:09,Netuno,FURIA,bot,4,0,5,12287,258.0,Split 1,inf
2022-01-29 19:10:09,RedBert,FURIA,sup,1,0,9,7275,29.0,Split 1,inf
2022-01-29 19:10:09,Tyrin,INTZ,top,0,2,2,8105,201.0,Split 1,1.0
2022-01-29 19:10:09,Yampi,INTZ,jng,0,5,1,7318,150.0,Split 1,0.2
2022-01-29 19:10:09,Kick,INTZ,mid,1,2,0,9753,237.0,Split 1,0.5
2022-01-29 19:10:09,micaO,INTZ,bot,1,2,1,9490,224.0,Split 1,1.0
2022-01-29 19:10:09,Decoy,INTZ,sup,0,3,1,5193,33.0,Split 1,0.33
2022-01-29 19:10:09,,FURIA,team,14,2,31,52142,,Split 1,22.5
2022-01-29 19:10:09,,INTZ,team,2,14,5,39859,,Split 1,0.5
2022-01-29 20:01:22,Robo,LOUD,top,1,3,4,11705,228.0,Split 1,1.67
2022-01-29 20:01:22,Tay,LOUD,jng,3,4,7,11069,167.0,Split 1,2.5
2022-01-29 20:01:22,tinowns,LOUD,mid,3,2,7,12324,225.0,Split 1,5.0
2022-01-29 20:01:22,DudsTheBoy,LOUD,bot,6,3,5,15682,312.0,Split 1,3.67
2022-01-29 20:01:22,Ceos,LOUD,sup,0,2,9,7444,31.0,Split 1,4.5
2022-01-29 20:01:22,Boal,Flamengo Esports,top,2,2,6,12124,263.0,Split 1,4.0
2022-01-29 20:01:22,asta,Flamengo Esports,jng,0,3,6,8924,163.0,Split 1,2.0
2022-01-29 20:01:22,Tutsz,Flamengo Esports,mid,4,3,5,12438,242.0,Split 1,3.0
2022-01-29 20:01:22,Flare,Flamengo Esports,bot,6,2,3,14092,300.0,Split 1,4.5
2022-01-29 20:01:22,Gyeong,Flamengo Esports,sup,2,3,9,7490,38.0,Split 1,3.67
2022-01-29 20:01:22,,LOUD,team,13,14,32,58224,,Split 1,3.21
2022-01-29 20:01:22,,Flamengo Esports,team,14,13,29,55068,,Split 1,3.31
2022-01-30 15:45:05,Guigo,RED Canids,top,4,2,11,12130,218.0,Split 1,7.5
2022-01-30 15:45:05,Aegis,RED Canids,jng,5,1,10,11010,149.0,Split 1,15.0
2022-01-30 15:45:05,Grevthar,RED Canids,mid,6,1,9,12135,223.0,Split 1,15.0
2022-01-30 15:45:05,TitaN,RED Canids,bot,6,4,7,13716,249.0,Split 1,3.25
2022-01-30 15:45:05,Jojo,RED Canids,sup,0,3,15,7608,23.0,Split 1,5.0
2022-01-30 15:45:05,Parang,KaBuM! e-Sports,top,2,5,2,9851,229.0,Split 1,0.8
2022-01-30 15:45:05,Wiz,KaBuM! e-Sports,jng,1,5,7,8251,139.0,Split 1,1.6
2022-01-30 15:45:05,Hauz,KaBuM! e-Sports,mid,5,4,6,10628,236.0,Split 1,2.75
2022-01-30 15:45:05,Disave,KaBuM! e-Sports,bot,2,1,4,10518,219.0,Split 1,6.0
