date,teamname,split,result,totalgold,teamkills,teamdeaths,towers,dragons,barons
2018-01-28 14:59:34,ProGaming Esports,Split 1,1,10984,9,1,,,
2018-01-28 14:59:34,ProGaming Esports,Split 1,1,10482,9,1,,,
2018-01-28 14:59:34,ProGaming Esports,Split 1,1,12400,9,1,,,
2018-01-28 14:59:34,ProGaming Esports,Split 1,1,15858,9,1,,,
2018-01-28 14:59:34,ProGaming Esports,Split 1,1,10284,9,1,,,
2018-01-28 14:59:34,Vivo Keyd,Split 1,0,52489,1,9,1.0,0.0,0.0
2018-01-28 14:59:34,ProGaming Esports,Split 1,1,60008,9,1,11.0,4.0,1.0
2018-01-28 16:02:16,ProGaming Esports,Split 1,1,10345,15,4,,,
2018-01-28 16:02:16,ProGaming Esports,Split 1,1,10178,15,4,,,
2018-01-28 16:02:16,ProGaming Esports,Split 1,1,13741,15,4,,,
2018-01-28 16:02:16,ProGaming Esports,Split 1,1,14151,15,4,,,
2018-01-28 16:02:16,ProGaming Esports,Split 1,1,8871,15,4,,,
2018-01-28 16:02:16,Vivo Keyd,Split 1,0,9833,4,15,,,
2018-01-28 16:02:16,Vivo Keyd,Split 1,0,9031,4,15,,,
2018-01-28 16:02:16,Vivo Keyd,Split 1,0,9977,4,15,,,
2018-01-28 16:02:16,Vivo Keyd,Split 1,0,11144,4,15,,,
2018-01-28 16:02:16,Vivo Keyd,Split 1,0,7538,4,15,,,
2018-01-28 16:02:16,ProGaming Esports,Split 1,1,57286,15,4,10.0,0.0,1.0
2018-01-28 16:02:16,Vivo Keyd,Split 1,0,47523,4,15,3.0,2.0,0.0
2018-01-28 16:57:06,KaBuM! e-Sports,Split 1,1,16393,15,5,,,
2018-01-28 16:57:06,KaBuM! e-Sports,Split 1,1,11657,15,5,,,
2018-01-28 16:57:06,KaBuM! e-Sports,Split 1,1,13712,15,5,,,
2018-01-28 16:57:06,KaBuM! e-Sports,Split 1,1,16687,15,5,,,
2018-01-28 16:57:06,KaBuM! e-Sports,Split 1,1,10743,15,5,,,
2018-01-28 16:57:06,paiN Gaming,Split 1,0,10066,5,15,,,
2018-01-28 16:57:06,paiN Gaming,Split 1,0,9609,5,15,,,
2018-01-28 16:57:06,paiN Gaming,Split 1,0,13168,5,15,,,
2018-01-28 16:57:06,paiN Gaming,Split 1,0,12254,5,15,,,
2018-01-28 16:57:06,paiN Gaming,Split 1,0,8457,5,15,,,
2018-01-28 16:57:06,KaBuM! e-Sports,Split 1,1,69192,15,5,8.0,2.0,2.0
2018-01-28 16:57:06,paiN Gaming,Split 1,0,53554,5,15,1.0,1.0,0.0
2018-01-28 18:01:01,paiN Gaming,Split 1,1,12616,11,1,,,
2018-01-28 18:01:01,paiN Gaming,Split 1,1,11572,11,1,,,
2018-01-28 18:01:01,paiN Gaming,Split 1,1,14387,11,1,,,
2018-01-28 18:01:01,paiN Gaming,Split 1,1,16257,11,1,,,
