playername,teamname,position,kills,deaths,assists,totalgold,total cs,KDA
,Flamengo Esports,team,20,16,47,54087,,4.19
,Redemption eSports Porto Alegre,team,16,20,33,47421,,2.45
Parang,KaBuM! e-Sports,top,7,2,1,13921,253.0,4.0
Wiz,KaBuM! e-Sports,jng,1,0,4,8064,135.0,inf
Tutsz,KaBuM! e-Sports,mid,2,0,7,10977,233.0,inf
DudsTheBoy,KaBuM! e-Sports,bot,5,0,7,12528,250.0,inf
Ceos,KaBuM! e-Sports,sup,0,1,10,6729,25.0,10.0
Yang,paiN Gaming,top,0,3,1,7000,150.0,0.33
SeongHwan,paiN Gaming,jng,1,3,2,7086,129.0,1.0
tinowns,paiN Gaming,mid,2,3,1,9458,215.0,1.0
brTT,paiN Gaming,bot,0,3,0,8603,238.0,0.0
Key,paiN Gaming,sup,0,3,2,5246,28.0,0.67
,KaBuM! e-Sports,team,15,3,29,52219,,14.67
,paiN Gaming,team,3,15,6,37393,,0.6
Robo,Vivo Keyd,top,3,3,6,14049,270.0,3.0
Grell,Vivo Keyd,jng,2,3,6,9918,162.0,2.67
NOsFerus,Vivo Keyd,mid,5,2,6,13901,252.0,5.5
Klaus,Vivo Keyd,bot,6,2,4,16168,324.0,5.0
Professor,Vivo Keyd,sup,1,3,10,8260,32.0,3.67
Fitz,FURIA Esports,top,2,3,6,10609,218.0,2.67
Minerva,FURIA Esports,jng,4,2,6,12079,195.0,5.0
Anyyy,FURIA Esports,mid,4,3,6,13045,288.0,3.33
Alternative,FURIA Esports,bot,1,5,6,13756,329.0,1.4
Damage,FURIA Esports,sup,2,4,9,7676,36.0,2.75
,Vivo Keyd,team,17,13,32,62296,,3.77
,FURIA Esports,team,13,17,33,57165,,2.71
Parang,KaBuM! e-Sports,top,3,5,8,16202,312.0,2.2
Wiz,KaBuM! e-Sports,jng,5,4,6,14713,254.0,2.75
Tutsz,KaBuM! e-Sports,mid,2,3,11,13609,242.0,4.33
DudsTheBoy,KaBuM! e-Sports,bot,4,4,6,17951,400.0,2.5
Ceos,KaBuM! e-Sports,sup,0,2,10,8649,45.0,5.0
WooFe,Flamengo Esports,top,8,3,5,17981,325.0,4.33
Ranger,Flamengo Esports,jng,2,3,14,12642,204.0,5.33
Goku,Flamengo Esports,mid,4,3,3,15066,271.0,2.33
Absolut,Flamengo Esports,bot,4,1,5,18666,420.0,9.0
Luci,Flamengo Esports,sup,0,4,10,9258,44.0,2.5
,KaBuM! e-Sports,team,14,18,41,71124,,3.06
,Flamengo Esports,team,18,14,37,73613,,3.93
Fitz,FURIA Esports,top,2,0,8,13971,263.0,inf
Minerva,FURIA Esports,jng,2,4,10,10874,167.0,3.0
Anyyy,FURIA Esports,mid,2,0,8,13052,271.0,inf
Alternative,FURIA Esports,bot,5,1,6,14300,265.0,11.0
Damage,FURIA Esports,sup,1,3,10,8830,30.0,3.67
lcberg,INTZ,top,0,4,1,11827,279.0,0.25
Shini,INTZ,jng,2,2,3,10159,176.0,2.5
Envy,INTZ,mid,5,2,1,11623,248.0,3.0
Mills,INTZ,bot,1,1,6,13317,296.0,7.0
RedBert,INTZ,sup,0,3,8,7157,39.0,2.67
,FURIA Esports,team,12,8,42,61027,,6.75
,INTZ,team,8,12,19,54083,,2.25
Yang,paiN Gaming,top,1,2,9,11976,232.0,5.0
SeongHwan,paiN Gaming,jng,7,2,8,13053,182.0,7.5
tinowns,paiN Gaming,mid,6,2,9,15271,271.0,7.5
brTT,paiN Gaming,bot,6,1,6,16135,329.0,12.0
Key,paiN Gaming,sup,1,2,14,9170,38.0,7.5
fNb,Prodigy Esports,top,2,5,2,14184,325.0,0.8
Yampi,Prodigy Esports,jng,1,5,5,8893,137.0,1.2
Aloned,Prodigy Esports,mid,0,3,5,11579,264.0,1.67
Garo,Prodigy Esports,bot,6,3,1,14909,315.0,2.33
Wos,Prodigy Esports,sup,0,5,5,7181,38.0,1.0
,paiN Gaming,team,21,9,46,65605,,7.44
,Prodigy Esports,team,9,21,18,56746,,1.29
Nyu,Redemption eSports Porto Alegre,top,1,5,3,10164,225.0,0.8
BalKhan,Redemption eSports Porto Alegre,jng,1,6,4,9475,169.0,0.83
Krastyel,Redemption eSports Porto Alegre,mid,4,2,1,13758,304.0,2.5
Save,Redemption eSports Porto Alegre,bot,1,2,2,11570,279.0,1.5
BocaJR,Redemption eSports Porto Alegre,sup,2,1,3,6955,32.0,5.0
